question_raw,question_theme,question_coded,question_text,reworded,survey_text,menu_text
Q8978212,Diet and Lifestyle,pa_60,how many days in the past week had they done a total of 60 minutes or more of physical activity ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked <b>%s</b> was %s %s students (%s). ,"In the past week, on how many days have you done at least an hour (60 minutes or more) of physical activity, which was enough to raise your breathing rate?",
Q8978212.2,,pa_60_hidden,pa_60_hidden,-,,
Q8978221,Smoking and Vaping,smoke_parents,parents or carers smoke around them,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s</b> was %s %s students (%s). ,Do your parents/carers smoke cigarettes around you?,parents/carers smoke cigarettes around you
Q8978221.2,Smoking and Vaping,smoke_home,someone at home smokes when they are in the room,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s</b> was %s %s students (%s). ,Does anyone at home smoke when you are in the room?,people at home smoke when you are in the room
Q8978221.3,Smoking and Vaping,smoke_car,someone smokes in a car when they are in it,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s</b> was %s %s students (%s). ,Does anyone smoke in a car when you are in it?,people smoke in a car when you are in it
Q8978222,Smoking and Vaping,smoke_ever,the statement that best describes them regarding smoking,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked about <b>%s</b> was %s %s students (%s). ,Thinking about smoking (excluding vaping / e-cigarettes) which of the following best describes you?,
Q8978224,Smoking and Vaping,buycig_pubbar,from a pub/bar,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they bought cigarettes <b>%s</b> was %s %s students (%s). ,Usually buys cigarettes in a pub/bar,in a pub/bar
Q8978224.2,Smoking and Vaping,buycig_supermarker,from a supermarket,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they bought cigarettes <b>%s</b> was %s %s students (%s). ,Usually buys cigarettes from a supermarket,from a supermarket
Q8978224.3,Smoking and Vaping,buycig_smallshop,from a small shop/off-licence,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they bought cigarettes <b>%s</b> was %s %s students (%s). ,Usually buys cigarettes from a small shop/off-licence,from a small shop/off-licence
Q8978224.4,Smoking and Vaping,buycig_friend,from a friend or relative,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they bought cigarettes <b>%s</b> was %s %s students (%s). ,Usually buys cigarettes from a friend or relative,from a friend or relative
Q8978224.5,Smoking and Vaping,buycig_internet,from the internet,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they bought cigarettes <b>%s</b> was %s %s students (%s). ,Usually buys cigarettes from the internet,from the internet
Q8978226,Alcohol Consumption,alcohol_ever,how often they had an alcohol-containing drink in the past three months,The proportion of %s students who responded with <b>'%s'</b>(%s) when asked <b>%s</b> was %s %s students (%s).,How often have you had a drink containing alcohol in the past three months? ,
Q8978227,Alcohol Consumption,alcohol_perday,how many alcohol-containing drinks they have on a typical day when they are drinking,The proportion of %s students who responded with <b>'%s'</b>(%s) when asked <b>%s</b> was %s %s students (%s). ,How many drinks containing alcohol do you have on a typical day when you are drinking?,
Q8978228,Alcohol Consumption,alcohol_6more,how often they have six or more drinks on one occasion,The proportion of %s students who responded with <b>'%s'</b>(%s) when asked <b>%s</b> was %s %s students (%s). ,How often do you have six or more drinks on one occasion?,
Q8978229,Alcohol Consumption,buyalc_home,from home,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got alcohol <b>%s</b> was %s %s students (%s). ,Typically buy/get alcohol from home,from home
Q8978229.2,Alcohol Consumption,buyalc_pubbar,from a pub/bar,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got alcohol <b>%s</b> was %s %s students (%s). ,Typically buy/get alcohol from a pub/bar,from a pub/bar
Q8978229.3,Alcohol Consumption,buyalc_supermarket,from a supermarket,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got alcohol <b>%s</b> was %s %s students (%s). ,Typically buy/get alcohol from a supermarket,from a supermarket
Q8978229.4,Alcohol Consumption,buyalc_smallshop,from a small shop/off-licence,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got alcohol <b>%s</b> was %s %s students (%s). ,Typically buy/get alcohol from a small shop/off-licence,from a small shop/off-licence
Q8978229.5,Alcohol Consumption,buyalc_friend,from a friend or relative,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got alcohol <b>%s</b> was %s %s students (%s). ,Typically buy/get alcohol from a friend or relative,from a friend or relative
Q8978229.6,Alcohol Consumption,buyalc_internet,from the internet,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they got alcohol <b>%s</b> was %s %s students (%s). ,Typically buy/get alcohol from the internet,from the internet
Q8978233,Drug Use,drugsupp_family,from family ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to family for information or support about drugs and alcohol,from family 
Q8978233.2,Drug Use,drugsupp_friends,from friends,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to friends for information or support about drugs and alcohol,from friends
Q8978233.3,Drug Use,drugsupp_doctor,from a doctor ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to a doctor for information or support about drugs and alcohol,from a doctor 
Q8978233.4,Drug Use,drugsupp_teacher,from a teacher ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to a teacher for information or support about drugs and alcohol,from a teacher 
Q8978233.5,Drug Use,drugsupp_yw,from a Youth Worker,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to a Youth Worker for information or support about drugs and alcohol,from a Youth Worker
Q8978233.6,Drug Use,drugsupp_internet,from the internet ,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they'd want to get drug/alcohol support <b>%s</b> was %s %s students (%s). ,Would go to the internet for information or support about drugs and alcohol,from the internet 
