breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,year
All Responses,All Schools,buyalc_other,from another place,No,15795,16290,97.0%,96.5%,97.4%,0.4%,0.4%,2023
All Responses,All Schools,buyalc_other,from another place,Yes,495,16290,3.0%,2.6%,3.5%,0.4%,0.4%,2023
All Responses,All Schools,buyalc_pubbar,from a pub/bar,No,15865,16290,97.4%,97.0%,97.8%,0.4%,0.4%,2023
All Responses,All Schools,buyalc_pubbar,from a pub/bar,Yes,425,16290,2.6%,2.2%,3.0%,0.4%,0.4%,2023
All Responses,All Schools,buyalc_smallshop,from a small shop/off-licence,No,15720,16290,96.5%,96.0%,96.9%,0.5%,0.4%,2023
All Responses,All Schools,buyalc_smallshop,from a small shop/off-licence,Yes,570,16290,3.5%,3.1%,4.0%,0.4%,0.5%,2023
All Responses,All Schools,buyalc_supermarket,from a supermarket,No,15940,16290,97.9%,97.5%,98.2%,0.4%,0.3%,2023
All Responses,All Schools,buyalc_supermarket,from a supermarket,Yes,350,16290,2.1%,1.8%,2.5%,0.3%,0.4%,2023
All Responses,All Schools,buycig_friend,from a friend or relative,No,16290,16290,100.0%,99.9%,100.0%,0.1%,0.0%,2023
All Responses,All Schools,buycig_internet,from the internet,No,16290,16290,100.0%,99.9%,100.0%,0.1%,0.0%,2023
All Responses,All Schools,buycig_other,from another place,No,16290,16290,100.0%,99.9%,100.0%,0.1%,0.0%,2023
All Responses,All Schools,buycig_pubbar,from a pub/bar,No,16290,16290,100.0%,99.9%,100.0%,0.1%,0.0%,2023
All Responses,All Schools,buycig_smallshop,from a small shop/off-licence,No,16290,16290,100.0%,99.9%,100.0%,0.1%,0.0%,2023
All Responses,All Schools,buycig_supermarket,from a supermarket,No,16290,16290,100.0%,99.9%,100.0%,0.1%,0.0%,2023
All Responses,All Schools,buydrug_bar,pubs/bars/clubs,No,16245,16290,99.7%,99.6%,99.8%,0.2%,0.1%,2023
All Responses,All Schools,buydrug_bar,pubs/bars/clubs,Yes,45,16290,0.3%,0.2%,0.4%,0.1%,0.2%,2023
All Responses,All Schools,buydrug_friend,friend or relative,No,15885,16295,97.5%,97.1%,97.8%,0.4%,0.4%,2023
All Responses,All Schools,buydrug_friend,friend or relative,Yes,410,16295,2.5%,2.2%,2.9%,0.4%,0.4%,2023
All Responses,All Schools,buydrug_internet,the internet,No,16230,16290,99.6%,99.5%,99.8%,0.2%,0.1%,2023
All Responses,All Schools,buydrug_internet,the internet,Yes,60,16290,0.4%,0.2%,0.5%,0.1%,0.2%,2023
All Responses,All Schools,buydrug_other,other sources,No,16185,16295,99.3%,99.1%,99.5%,0.2%,0.2%,2023
All Responses,All Schools,buydrug_other,other sources,Yes,110,16295,0.7%,0.5%,0.9%,0.2%,0.2%,2023
All Responses,All Schools,buydrug_school,school,No,16240,16295,99.7%,99.5%,99.8%,0.2%,0.1%,2023
All Responses,All Schools,buydrug_school,school,Yes,55,16295,0.3%,0.2%,0.5%,0.1%,0.2%,2023
All Responses,All Schools,buydrug_streets,on the street,No,16125,16290,99.0%,98.7%,99.2%,0.3%,0.2%,2023
All Responses,All Schools,buydrug_streets,on the street,Yes,165,16290,1.0%,0.8%,1.3%,0.2%,0.3%,2023
All Responses,All Schools,cannabis_exp,cannabis,No,15795,16295,96.9%,96.5%,97.3%,0.4%,0.4%,2023
All Responses,All Schools,cannabis_exp,cannabis,Yes,500,16295,3.1%,2.7%,3.5%,0.4%,0.4%,2023
All Responses,All Schools,cannabis_offered,cannabis,No,14925,16295,91.6%,90.9%,92.2%,0.7%,0.6%,2023
All Responses,All Schools,cannabis_offered,cannabis,Yes,1370,16295,8.4%,7.8%,9.1%,0.6%,0.7%,2023
All Responses,All Schools,caring,"help to look after a family member with a serious, mental or physical, illness or disability",No,13140,15925,82.5%,81.6%,83.4%,0.9%,0.9%,2023
All Responses,All Schools,caring,"help to look after a family member with a serious, mental or physical, illness or disability",Prefer not to say,1080,15925,6.8%,6.2%,7.4%,0.6%,0.6%,2023
All Responses,All Schools,caring,"help to look after a family member with a serious, mental or physical, illness or disability",Yes,1705,15925,10.7%,10.0%,11.5%,0.7%,0.8%,2023
All Responses,All Schools,carry_protection,carry weapons for protection when going out,Always,120,15870,0.8%,0.6%,1.0%,0.2%,0.2%,2023
All Responses,All Schools,carry_protection,carry weapons for protection when going out,Never,14840,15870,93.5%,92.9%,94.1%,0.6%,0.6%,2023
All Responses,All Schools,carry_protection,carry weapons for protection when going out,Prefer not to say,370,15870,2.3%,2.0%,2.7%,0.3%,0.4%,2023
All Responses,All Schools,carry_protection,carry weapons for protection when going out,Sometimes,475,15870,3.0%,2.6%,3.4%,0.4%,0.4%,2023
All Responses,All Schools,carry_protection,carry weapons for protection when going out,Usually,65,15870,0.4%,0.3%,0.6%,0.1%,0.2%,2023
All Responses,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,Don't know,3075,15640,19.7%,18.7%,20.7%,1.0%,1.0%,2023
All Responses,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,No,10840,15640,69.3%,68.2%,70.4%,1.2%,1.1%,2023
All Responses,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,Prefer not to say,520,15640,3.3%,2.9%,3.8%,0.4%,0.5%,2023
All Responses,All Schools,carry_protection_other,know anyone who carries a weapons for protection when going out,Yes,1205,15640,7.7%,7.1%,8.4%,0.6%,0.7%,2023
All Responses,All Schools,cla,child looked after (lived with foster carers/care home),No,15410,15970,96.5%,96.0%,96.9%,0.5%,0.4%,2023
All Responses,All Schools,cla,child looked after (lived with foster carers/care home),Prefer not to say,290,15970,1.8%,1.5%,2.2%,0.3%,0.4%,2023
All Responses,All Schools,cla,child looked after (lived with foster carers/care home),Yes,270,15970,1.7%,1.4%,2.0%,0.3%,0.3%,2023
All Responses,All Schools,clubs_arts,an arts and crafts group,Currently attending,1105,3255,33.9%,31.4%,36.6%,2.5%,2.6%,2023
All Responses,All Schools,clubs_arts,an arts and crafts group,Would like to attend,2150,3255,66.1%,63.4%,68.6%,2.6%,2.5%,2023
All Responses,All Schools,clubs_doe,Duke of Edinburgh,Currently attending,2065,4515,45.7%,43.5%,48.0%,2.3%,2.3%,2023
All Responses,All Schools,clubs_doe,Duke of Edinburgh,Would like to attend,2450,4515,54.3%,52.0%,56.5%,2.3%,2.3%,2023
All Responses,All Schools,clubs_music,a music club/group,Currently attending,2585,4125,62.7%,60.3%,65.0%,2.4%,2.3%,2023
All Responses,All Schools,clubs_music,a music club/group,Would like to attend,1540,4125,37.3%,35.0%,39.7%,2.3%,2.4%,2023
All Responses,All Schools,clubs_other,other groups,Currently attending,2250,3355,67.1%,64.5%,69.5%,2.6%,2.5%,2023
All Responses,All Schools,clubs_other,other groups,Would like to attend,1105,3355,32.9%,30.5%,35.5%,2.5%,2.6%,2023
All Responses,All Schools,clubs_perform,a drama/performing arts/dance group,Currently attending,2470,4030,61.3%,58.9%,63.6%,2.4%,2.3%,2023
All Responses,All Schools,clubs_perform,a drama/performing arts/dance group,Would like to attend,1560,4030,38.7%,36.4%,41.1%,2.3%,2.4%,2023
All Responses,All Schools,clubs_religion,a religious group,Currently attending,865,1655,52.3%,48.5%,56.0%,3.8%,3.8%,2023
All Responses,All Schools,clubs_religion,a religious group,Would like to attend,790,1655,47.7%,44.0%,51.5%,3.8%,3.8%,2023
All Responses,All Schools,clubs_schoolclub,a club/group at school,Currently attending,5405,6365,84.9%,83.5%,86.3%,1.4%,1.3%,2023
All Responses,All Schools,clubs_schoolclub,a club/group at school,Would like to attend,960,6365,15.1%,13.7%,16.5%,1.3%,1.4%,2023
All Responses,All Schools,clubs_sports,a sports club,Currently attending,7970,9700,82.2%,80.9%,83.3%,1.2%,1.2%,2023
All Responses,All Schools,clubs_sports,a sports club,Would like to attend,1730,9700,17.8%,16.7%,19.1%,1.2%,1.2%,2023
All Responses,All Schools,clubs_syp,Services for Young People,Currently attending,360,1325,27.2%,23.6%,31.1%,3.6%,3.9%,2023
All Responses,All Schools,clubs_syp,Services for Young People,Would like to attend,965,1325,72.8%,68.9%,76.4%,3.9%,3.6%,2023
All Responses,All Schools,clubs_uniformed,a uniformed group,Currently attending,1800,2785,64.6%,61.8%,67.4%,2.8%,2.7%,2023
All Responses,All Schools,clubs_uniformed,a uniformed group,Would like to attend,985,2785,35.4%,32.6%,38.2%,2.7%,2.8%,2023
All Responses,All Schools,clubs_volunteering,volunteering/social action group,Currently attending,1520,2945,51.6%,48.8%,54.4%,2.8%,2.8%,2023
All Responses,All Schools,clubs_volunteering,volunteering/social action group,Would like to attend,1425,2945,48.4%,45.6%,51.2%,2.8%,2.8%,2023
All Responses,All Schools,cocaine_exp,cocaine,No,16205,16290,99.5%,99.3%,99.6%,0.2%,0.1%,2023
All Responses,All Schools,cocaine_exp,cocaine,Yes,85,16290,0.5%,0.4%,0.7%,0.1%,0.2%,2023
All Responses,All Schools,cocaine_offered,cocaine,No,15955,16290,97.9%,97.6%,98.3%,0.4%,0.3%,2023
All Responses,All Schools,cocaine_offered,cocaine,Yes,335,16290,2.1%,1.7%,2.4%,0.3%,0.4%,2023
All Responses,All Schools,condition_adhd,ADHD,No,14975,16295,91.9%,91.2%,92.5%,0.7%,0.6%,2023
All Responses,All Schools,condition_adhd,ADHD,Yes,1320,16295,8.1%,7.5%,8.8%,0.6%,0.7%,2023
All Responses,All Schools,condition_autism,autism,No,15325,16290,94.1%,93.5%,94.6%,0.6%,0.5%,2023
All Responses,All Schools,condition_autism,autism,Yes,965,16290,5.9%,5.4%,6.5%,0.5%,0.6%,2023
All Responses,All Schools,condition_disability,physical disability,No,15985,16290,98.1%,97.8%,98.4%,0.4%,0.3%,2023
All Responses,All Schools,condition_disability,physical disability,Yes,305,16290,1.9%,1.6%,2.2%,0.3%,0.4%,2023
All Responses,All Schools,condition_mental,diagnosed mental health condition,No,14830,16295,91.0%,90.3%,91.7%,0.7%,0.7%,2023
All Responses,All Schools,condition_mental,diagnosed mental health condition,Yes,1465,16295,9.0%,8.3%,9.7%,0.7%,0.7%,2023
All Responses,All Schools,condition_physical,physical condition,No,14745,16290,90.5%,89.8%,91.2%,0.7%,0.7%,2023
All Responses,All Schools,condition_physical,physical condition,Yes,1545,16290,9.5%,8.8%,10.2%,0.7%,0.7%,2023
All Responses,All Schools,condition_send,special education need(s) or learning difficulty,No,15310,16290,94.0%,93.4%,94.5%,0.6%,0.6%,2023
All Responses,All Schools,condition_send,special education need(s) or learning difficulty,Yes,980,16290,6.0%,5.5%,6.6%,0.6%,0.6%,2023
All Responses,All Schools,condoms_free,they know where they can get condoms for free,No,2725,6370,42.8%,40.9%,44.7%,1.9%,1.9%,2023
All Responses,All Schools,condoms_free,they know where they can get condoms for free,Not sure,1120,6370,17.6%,16.2%,19.1%,1.4%,1.5%,2023
All Responses,All Schools,condoms_free,they know where they can get condoms for free,Yes,2525,6370,39.6%,37.8%,41.5%,1.9%,1.9%,2023
All Responses,All Schools,cope_alcohol,by drinking alcohol,No,15820,16290,97.1%,96.7%,97.5%,0.4%,0.4%,2023
All Responses,All Schools,cope_alcohol,by drinking alcohol,Yes,470,16290,2.9%,2.5%,3.3%,0.4%,0.4%,2023
All Responses,All Schools,cope_counselling,by having counselling,No,15610,16290,95.8%,95.3%,96.3%,0.5%,0.5%,2023
All Responses,All Schools,cope_counselling,by having counselling,Yes,680,16290,4.2%,3.7%,4.7%,0.5%,0.5%,2023
All Responses,All Schools,cope_creative,by doing creative activities,No,12650,16290,77.7%,76.6%,78.6%,1.0%,1.0%,2023
All Responses,All Schools,cope_creative,by doing creative activities,Yes,3640,16290,22.3%,21.4%,23.4%,1.0%,1.0%,2023
All Responses,All Schools,cope_drugs,by doing drugs,No,16045,16290,98.5%,98.2%,98.8%,0.3%,0.3%,2023
All Responses,All Schools,cope_drugs,by doing drugs,Yes,245,16290,1.5%,1.2%,1.8%,0.3%,0.3%,2023
All Responses,All Schools,cope_eat,by eating more,No,14145,16290,86.8%,86.0%,87.6%,0.8%,0.8%,2023
All Responses,All Schools,cope_eat,by eating more,Yes,2145,16290,13.2%,12.4%,14.0%,0.8%,0.8%,2023
All Responses,All Schools,cope_exercise,by exercising,No,10930,16290,67.1%,65.9%,68.2%,1.1%,1.1%,2023
All Responses,All Schools,cope_exercise,by exercising,Yes,5360,16290,32.9%,31.8%,34.1%,1.1%,1.1%,2023
All Responses,All Schools,cope_games,by playing computer games,No,11575,16290,71.1%,69.9%,72.1%,1.1%,1.1%,2023
All Responses,All Schools,cope_games,by playing computer games,Yes,4715,16290,28.9%,27.9%,30.1%,1.1%,1.1%,2023
All Responses,All Schools,cope_internet,by looking for help online,No,15290,16290,93.9%,93.3%,94.4%,0.6%,0.6%,2023
All Responses,All Schools,cope_internet,by looking for help online,Yes,1000,16290,6.1%,5.6%,6.7%,0.6%,0.6%,2023
All Responses,All Schools,cope_music,by listening to music,No,7445,16290,45.7%,44.5%,46.9%,1.2%,1.2%,2023
All Responses,All Schools,cope_music,by listening to music,Yes,8845,16290,54.3%,53.1%,55.5%,1.2%,1.2%,2023
All Responses,All Schools,cope_nothing,by doing nothing,No,13075,16290,80.3%,79.3%,81.2%,1.0%,0.9%,2023
All Responses,All Schools,cope_nothing,by doing nothing,Yes,3215,16290,19.7%,18.8%,20.7%,0.9%,1.0%,2023
All Responses,All Schools,cope_other,by other methods,No,15305,16290,94.0%,93.4%,94.5%,0.6%,0.6%,2023
All Responses,All Schools,cope_other,by other methods,Yes,985,16290,6.0%,5.5%,6.6%,0.6%,0.6%,2023
All Responses,All Schools,cope_selfharm,by self-harm,No,15065,16295,92.5%,91.8%,93.1%,0.7%,0.6%,2023
All Responses,All Schools,cope_selfharm,by self-harm,Yes,1230,16295,7.5%,6.9%,8.2%,0.6%,0.7%,2023
All Responses,All Schools,cope_smoke,by smoking,No,16030,16290,98.4%,98.1%,98.7%,0.3%,0.3%,2023
All Responses,All Schools,cope_smoke,by smoking,Yes,260,16290,1.6%,1.3%,1.9%,0.3%,0.3%,2023
All Responses,All Schools,cope_talkadult,by talking to an adult that's not their carer,No,14620,16290,89.7%,89.0%,90.5%,0.8%,0.7%,2023
All Responses,All Schools,cope_talkadult,by talking to an adult that's not their carer,Yes,1670,16290,10.3%,9.5%,11.0%,0.7%,0.8%,2023
All Responses,All Schools,cope_talkfamily,by talking to family,No,10185,16290,62.5%,61.3%,63.7%,1.2%,1.2%,2023
All Responses,All Schools,cope_talkfamily,by talking to family,Yes,6105,16290,37.5%,36.3%,38.7%,1.2%,1.2%,2023
All Responses,All Schools,cope_talkfriend,by talking to a friend,No,9785,16290,60.1%,58.9%,61.2%,1.2%,1.2%,2023
All Responses,All Schools,cope_talkfriend,by talking to a friend,Yes,6505,16290,39.9%,38.8%,41.1%,1.2%,1.2%,2023
All Responses,All Schools,cope_think,by thinking of a solution on their own,No,12220,16295,75.0%,73.9%,76.0%,1.1%,1.0%,2023
All Responses,All Schools,cope_think,by thinking of a solution on their own,Yes,4075,16295,25.0%,24.0%,26.1%,1.0%,1.1%,2023
All Responses,All Schools,crack_exp,crack,No,16235,16290,99.7%,99.5%,99.8%,0.2%,0.1%,2023
All Responses,All Schools,crack_exp,crack,Yes,55,16290,0.3%,0.2%,0.5%,0.1%,0.2%,2023
All Responses,All Schools,crack_offered,crack,No,16145,16290,99.1%,98.9%,99.3%,0.3%,0.2%,2023
All Responses,All Schools,crack_offered,crack,Yes,145,16290,0.9%,0.7%,1.1%,0.2%,0.3%,2023
