year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2022,Female,All Schools,mental_talk,"agree with the statement ""It's okay for me to talk about my mental health.""",No,525,5750,9.1%,8.0%,10.4%,1.1%,1.2%,53,Q8978242,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Its okay for me to talk about my mental health.,NA,FALSE,FALSE,mental_talk,"Do you agree with this statement: ""Its okay for me to talk about my mental health.""",FALSE,Talking about mental health,NA,NA,0,Simple
2022,Female,All Schools,mental_talk,"agree with the statement ""It's okay for me to talk about my mental health.""",No,525,5750,9.1%,8.0%,10.4%,1.1%,1.2%,50,Q8978242,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Its okay for me to talk about my mental health.,NA,FALSE,FALSE,mental_talk,"Do you agree with this statement: ""Its okay for me to talk about my mental health.""",FALSE,Talking about mental health,NA,NA,1,NA
2022,Female,All Schools,mental_talk,"agree with the statement ""It's okay for me to talk about my mental health.""",Not sure,1135,5750,19.7%,18.2%,21.4%,1.6%,1.7%,53,Q8978242,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Its okay for me to talk about my mental health.,NA,FALSE,FALSE,mental_talk,"Do you agree with this statement: ""Its okay for me to talk about my mental health.""",FALSE,Talking about mental health,NA,NA,0,Simple
2022,Female,All Schools,mental_talk,"agree with the statement ""It's okay for me to talk about my mental health.""",Not sure,1135,5750,19.7%,18.2%,21.4%,1.6%,1.7%,50,Q8978242,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Its okay for me to talk about my mental health.,NA,FALSE,FALSE,mental_talk,"Do you agree with this statement: ""Its okay for me to talk about my mental health.""",FALSE,Talking about mental health,NA,NA,1,NA
2022,Female,All Schools,mental_talk,"agree with the statement ""It's okay for me to talk about my mental health.""",Yes,4090,5750,71.1%,69.2%,72.9%,1.9%,1.8%,53,Q8978242,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Its okay for me to talk about my mental health.,NA,FALSE,FALSE,mental_talk,"Do you agree with this statement: ""Its okay for me to talk about my mental health.""",TRUE,Talking about mental health,Believes it's okay to talk about their mental health,NA,0,Simple
2022,Female,All Schools,mental_talk,"agree with the statement ""It's okay for me to talk about my mental health.""",Yes,4090,5750,71.1%,69.2%,72.9%,1.9%,1.8%,50,Q8978242,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,Its okay for me to talk about my mental health.,NA,FALSE,FALSE,mental_talk,"Do you agree with this statement: ""Its okay for me to talk about my mental health.""",TRUE,Talking about mental health,Believes it's okay to talk about their mental health,NA,1,NA
2022,Female,All Schools,mental_type_121,1-2-1s (in person),No,2885,5850,49.3%,47.3%,51.3%,2.0%,2.0%,60.3,Q17646821.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want 1-2-1s if they were struggling with their mental health,1-2-1s (in person),FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",FALSE,What kind of mental health support they want,Would want 1-2-1s if they were struggling with their mental health,NA,1,Multiple Select
2022,Female,All Schools,mental_type_121,1-2-1s (in person),No,2885,5850,49.3%,47.3%,51.3%,2.0%,2.0%,57,Q17646821.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want 1-2-1s if they were struggling with their mental health,1-2-1s (in person),FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",FALSE,What kind of mental health support they want,Would want 1-2-1s if they were struggling with their mental health,NA,1,NA
2022,Female,All Schools,mental_type_121,1-2-1s (in person),Yes,2965,5850,50.7%,48.7%,52.7%,2.0%,2.0%,60.3,Q17646821.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want 1-2-1s if they were struggling with their mental health,1-2-1s (in person),FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",TRUE,What kind of mental health support they want,Would want 1-2-1s if they were struggling with their mental health,NA,1,Multiple Select
2022,Female,All Schools,mental_type_121,1-2-1s (in person),Yes,2965,5850,50.7%,48.7%,52.7%,2.0%,2.0%,57,Q17646821.3,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want 1-2-1s if they were struggling with their mental health,1-2-1s (in person),FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",TRUE,What kind of mental health support they want,Would want 1-2-1s if they were struggling with their mental health,NA,1,NA
2022,Female,All Schools,mental_type_group,groupwork,No,4480,5845,76.6%,74.9%,78.3%,1.8%,1.7%,60.4,Q17646821.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want groupwork if they were struggling with their mental health,groupwork,FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",FALSE,What kind of mental health support they want,Would want groupwork if they were struggling with their mental health,NA,1,Multiple Select
2022,Female,All Schools,mental_type_group,groupwork,No,4480,5845,76.6%,74.9%,78.3%,1.8%,1.7%,57,Q17646821.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want groupwork if they were struggling with their mental health,groupwork,FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",FALSE,What kind of mental health support they want,Would want groupwork if they were struggling with their mental health,NA,1,NA
2022,Female,All Schools,mental_type_group,groupwork,Yes,1365,5845,23.4%,21.7%,25.1%,1.7%,1.8%,60.4,Q17646821.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want groupwork if they were struggling with their mental health,groupwork,FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",TRUE,What kind of mental health support they want,Would want groupwork if they were struggling with their mental health,NA,1,Multiple Select
2022,Female,All Schools,mental_type_group,groupwork,Yes,1365,5845,23.4%,21.7%,25.1%,1.7%,1.8%,57,Q17646821.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want groupwork if they were struggling with their mental health,groupwork,FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",TRUE,What kind of mental health support they want,Would want groupwork if they were struggling with their mental health,NA,1,NA
2022,Female,All Schools,mental_type_online,online support,No,4580,5850,78.3%,76.6%,79.9%,1.7%,1.6%,60,Q17646821,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they wanted <b>%s</b> as a type of mental health support was %s %s students (%s).,Would want online support if they were struggling with their mental health,online support,FALSE,TRUE,mental_type,"If you were struggling with your mental health, what kind of support would you want?",FALSE,What kind of mental health support they want,Would want online support if they were struggling with their mental health,NA,1,Multiple Select
