year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb,order,question_raw,question_theme,reworded,survey_text,menu_text,multi_cat,multi_binary,question_coded_gen,survey_text_gen,response_of_interest,heading,question_response,polarity,rotation,question_type
2023,All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,No,14910,16295,91.5%,90.8%,92.2%,0.7%,0.7%,63.4,Q15140168.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,NA,Prefer not to say,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2023,All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,No,14910,16295,91.5%,90.8%,92.2%,0.7%,0.7%,59,Q15140168.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,NA,Prefer not to say,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2023,All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,Yes,1385,16295,8.5%,7.8%,9.2%,0.7%,0.7%,63.4,Q15140168.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,NA,Prefer not to say,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,0,Lengthy
2023,All Responses,All Schools,bullied_prefer_not_say,would prefer not to respond about their experiences with bullying,Yes,1385,16295,8.5%,7.8%,9.2%,0.7%,0.7%,59,Q15140168.4,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they <b>%s</b> was %s %s students (%s).,NA,Prefer not to say,FALSE,TRUE,bullied,Please describe your experiences with bullying.,FALSE,Bullying,NA,NA,1,NA
2023,All Responses,All Schools,bullied_school,they have been bullied at school,No,10370,16295,63.6%,62.5%,64.8%,1.2%,1.2%,65,Q8978252,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied at school?,Has been bullied at school,FALSE,TRUE,bullied_place,Where have you been bullied or picked on? (If they had been bullied before.),FALSE,Where they were bullied,NA,NA,0,Simple
2023,All Responses,All Schools,bullied_school,they have been bullied at school,No,10370,16295,63.6%,62.5%,64.8%,1.2%,1.2%,61,Q8978252,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied at school?,Has been bullied at school,FALSE,TRUE,bullied,Where have you been bullied or picked on?,FALSE,Where they were bullied,NA,NA,1,NA
2023,All Responses,All Schools,bullied_school,they have been bullied at school,Yes,5925,16295,36.4%,35.2%,37.5%,1.2%,1.2%,65,Q8978252,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied at school?,Has been bullied at school,FALSE,TRUE,bullied_place,Where have you been bullied or picked on? (If they had been bullied before.),TRUE,Where they were bullied,Bullied at school,NA,0,Simple
2023,All Responses,All Schools,bullied_school,they have been bullied at school,Yes,5925,16295,36.4%,35.2%,37.5%,1.2%,1.2%,61,Q8978252,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if <b>%s<b> was %s %s students (%s).,Have you been bullied at school?,Has been bullied at school,FALSE,TRUE,bullied,Where have you been bullied or picked on?,TRUE,Where they were bullied,Bullied at school,NA,1,NA
2023,All Responses,All Schools,cope_alcohol,by drinking alcohol,No,15820,16290,97.1%,96.7%,97.5%,0.4%,0.4%,52.93,Q8978243.12,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by drinking alcohol,by drinking alcohol,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,0,Multiple Select
2023,All Responses,All Schools,cope_alcohol,by drinking alcohol,No,15820,16290,97.1%,96.7%,97.5%,0.4%,0.4%,51,Q8978243.12,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by drinking alcohol,by drinking alcohol,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,1,NA
2023,All Responses,All Schools,cope_alcohol,by drinking alcohol,Yes,470,16290,2.9%,2.5%,3.3%,0.4%,0.4%,52.93,Q8978243.12,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by drinking alcohol,by drinking alcohol,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by drinking alcohol,NA,0,Multiple Select
2023,All Responses,All Schools,cope_alcohol,by drinking alcohol,Yes,470,16290,2.9%,2.5%,3.3%,0.4%,0.4%,51,Q8978243.12,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by drinking alcohol,by drinking alcohol,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by drinking alcohol,NA,1,NA
2023,All Responses,All Schools,cope_counselling,by having counselling,No,15610,16290,95.8%,95.3%,96.3%,0.5%,0.5%,52.6,Q8978243.6,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by having counselling,by having counselling,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,0,Multiple Select
2023,All Responses,All Schools,cope_counselling,by having counselling,No,15610,16290,95.8%,95.3%,96.3%,0.5%,0.5%,51,Q8978243.6,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by having counselling,by having counselling,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,FALSE,Coping,NA,NA,1,NA
2023,All Responses,All Schools,cope_counselling,by having counselling,Yes,680,16290,4.2%,3.7%,4.7%,0.5%,0.5%,52.6,Q8978243.6,Mental Health and Wellbeing,The proportion of %s students who responded with <b>'%s'</b> (%s) when asked if they coped <b>%s</b> was %s %s students (%s).,Cope with problems by having counselling,by having counselling,FALSE,TRUE,cope,If you have a problem that worries you how do you cope?,TRUE,Coping,Copes by having counselling,NA,0,Multiple Select
