year,breakdown,school,question,question_text,response,count,denominator,value,lowercl,uppercl,lowereb,uppereb
2022,All Responses,All Schools,internet_personalinfo,have ever shared personal information with someone they have not met in real life,Yes,1755,10785,16.3%,15.2%,17.4%,1.1%,1.1%
2022,All Responses,All Schools,internet_pictures_pressure,have ever felt pressured to send pictures of themselves to someone,No,9590,10760,89.1%,88.2%,90.0%,1.0%,0.9%
2022,All Responses,All Schools,internet_pictures_pressure,have ever felt pressured to send pictures of themselves to someone,Yes,1170,10760,10.9%,10.0%,11.8%,0.9%,1.0%
2022,All Responses,All Schools,internet_pictures_upset,have ever seen a picture or post that scared them,No,7040,10800,65.2%,63.8%,66.6%,1.4%,1.4%
2022,All Responses,All Schools,internet_pictures_upset,have ever seen a picture or post that scared them,Yes,3760,10800,34.8%,33.4%,36.2%,1.4%,1.4%
2022,All Responses,All Schools,ketamine_exp,ketamine,No,770,870,88.5%,84.7%,91.4%,3.8%,2.9%
2022,All Responses,All Schools,ketamine_exp,ketamine,Yes,100,870,11.5%,8.6%,15.3%,2.9%,3.8%
2022,All Responses,All Schools,ketamine_offered,ketamine,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,khat_exp,khat,No,820,870,94.3%,91.3%,96.2%,3.0%,2.0%
2022,All Responses,All Schools,khat_exp,khat,Yes,50,870,5.7%,3.8%,8.7%,2.0%,3.0%
2022,All Responses,All Schools,khat_offered,khat,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,life_happyyesterday,how happy they felt yesterday overall on a scale low to high,high,3075,11155,27.6%,26.3%,28.9%,1.3%,1.3%
2022,All Responses,All Schools,life_happyyesterday,how happy they felt yesterday overall on a scale low to high,low,2910,11155,26.1%,24.8%,27.4%,1.3%,1.3%
2022,All Responses,All Schools,life_happyyesterday,how happy they felt yesterday overall on a scale low to high,medium,2430,11155,21.8%,20.6%,23.0%,1.2%,1.2%
2022,All Responses,All Schools,life_happyyesterday,how happy they felt yesterday overall on a scale low to high,very high,2740,11155,24.6%,23.3%,25.8%,1.2%,1.3%
2022,All Responses,All Schools,life_satisfied,about how satisfied they with their life on a scale of low to high,high,3910,11150,35.1%,33.7%,36.5%,1.4%,1.4%
2022,All Responses,All Schools,life_satisfied,about how satisfied they with their life on a scale of low to high,low,2140,11150,19.2%,18.1%,20.4%,1.1%,1.2%
2022,All Responses,All Schools,life_satisfied,about how satisfied they with their life on a scale of low to high,medium,2540,11150,22.8%,21.6%,24.0%,1.2%,1.3%
2022,All Responses,All Schools,life_satisfied,about how satisfied they with their life on a scale of low to high,very high,2560,11150,23.0%,21.8%,24.2%,1.2%,1.3%
2022,All Responses,All Schools,life_worthwhile,the extent to which they feel the things they do in their life are worthwhile on a scale of low to high,high,3330,11150,29.9%,28.5%,31.2%,1.3%,1.4%
2022,All Responses,All Schools,life_worthwhile,the extent to which they feel the things they do in their life are worthwhile on a scale of low to high,low,2370,11150,21.3%,20.1%,22.5%,1.2%,1.2%
2022,All Responses,All Schools,life_worthwhile,the extent to which they feel the things they do in their life are worthwhile on a scale of low to high,medium,2645,11150,23.7%,22.5%,25.0%,1.2%,1.3%
2022,All Responses,All Schools,life_worthwhile,the extent to which they feel the things they do in their life are worthwhile on a scale of low to high,very high,2805,11150,25.2%,23.9%,26.4%,1.2%,1.3%
2022,All Responses,All Schools,mental_121,1-2-1 sessions,No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,mental_accessed,have ever accessed mental health services before,No,7840,10805,72.6%,71.2%,73.9%,1.3%,1.3%
2022,All Responses,All Schools,mental_accessed,have ever accessed mental health services before,Not sure,945,10805,8.7%,7.9%,9.6%,0.8%,0.9%
2022,All Responses,All Schools,mental_accessed,have ever accessed mental health services before,Prefer not to say,380,10805,3.5%,3.0%,4.1%,0.5%,0.6%
2022,All Responses,All Schools,mental_accessed,have ever accessed mental health services before,Yes,1640,10805,15.2%,14.1%,16.3%,1.0%,1.1%
2022,All Responses,All Schools,mental_accessed_helpful,how helpful they found the mental health support,A little,650,1635,39.8%,36.1%,43.5%,3.7%,3.8%
2022,All Responses,All Schools,mental_accessed_helpful,how helpful they found the mental health support,Neither helpful nor unhelpful,200,1635,12.2%,9.9%,15.0%,2.3%,2.7%
2022,All Responses,All Schools,mental_accessed_helpful,how helpful they found the mental health support,Not helpful,205,1635,12.5%,10.2%,15.3%,2.3%,2.8%
2022,All Responses,All Schools,mental_accessed_helpful,how helpful they found the mental health support,Not very helpful,255,1635,15.6%,13.0%,18.6%,2.6%,3.0%
2022,All Responses,All Schools,mental_accessed_helpful,how helpful they found the mental health support,Very,325,1635,19.9%,17.0%,23.1%,2.9%,3.2%
2022,All Responses,All Schools,mental_activesupport,activity-based support (e.g. drama therapy),No,11150,11150,100.0%,99.9%,100.0%,0.1%,0.0%
2022,All Responses,All Schools,mental_charity,charities,No,11005,11150,98.7%,98.3%,99.0%,0.4%,0.3%
2022,All Responses,All Schools,mental_charity,charities,Yes,145,11150,1.3%,1.0%,1.7%,0.3%,0.4%
2022,All Responses,All Schools,mental_clinic,a mental health clinic,No,9095,11150,81.6%,80.4%,82.7%,1.2%,1.1%
2022,All Responses,All Schools,mental_clinic,a mental health clinic,Yes,2055,11150,18.4%,17.3%,19.6%,1.1%,1.2%
2022,All Responses,All Schools,mental_doctor,a doctor,No,9350,11150,83.9%,82.8%,84.9%,1.1%,1.0%
